ID,Binomial,Nrec,Group,ROC,TSS,Sensitivity,Specificity,Cutoff,Method
405,Ficusnymphaeifolia,1,Trees,NA,NA,NA,NA,NA,UPFls_10
406,Florisugamellivora,4,Birds,NA,NA,NA,NA,NA,UPFls_10
407,Formicariusanalis,32,Birds,0.9 +/- 0.04,0.8 +/- 0.08,89.88 +/- 8.29,94.14 +/- 6.1,0.23 +/- 0.17,SDM
408,Formicariuscolma,8,Birds,1 +/- 0.04,0.9 +/- 0.07,100 +/- 0,93.61 +/- 7.48,0.3 +/- 0.18,SDM
409,Forsteroniaaffinis,7,Trees,1 +/- 0.05,1 +/- 0.08,100 +/- 0,95.29 +/- 7.58,0.41 +/- 0.17,UPFls_10
410,Forsteroniaduckei,11,Trees,1 +/- 0.04,1 +/- 0.07,100 +/- 0,95.69 +/- 6.83,0.32 +/- 0.2,SDM
411,Forsteroniagracilis,4,Trees,NA,NA,NA,NA,NA,UPFls_10
412,Forsteroniaguyanensis,10,Trees,1 +/- 0.06,0.9 +/- 0.08,100 +/- 0,91.97 +/- 8.83,0.21 +/- 0.15,SDM
413,Forsteroniamollis,2,Trees,NA,NA,NA,NA,NA,UPFls_10
414,Forsteroniasp,2,Trees,NA,NA,NA,NA,NA,Excluded
415,Fridericiacinnamomea,30,Trees,0.9 +/- 0.04,0.8 +/- 0.05,86.46 +/- 6.61,96.7 +/- 5.04,0.33 +/- 0.23,SDM
416,Fridericianigrescens,2,Trees,NA,NA,NA,NA,NA,UPFls_10
417,Fridericiaprancei,2,Trees,NA,NA,NA,NA,NA,UPFls_10
418,Fridericiapubescens,6,Trees,0.9 +/- 0.09,0.9 +/- 0.09,100 +/- 0,91.87 +/- 9.77,0.36 +/- 0.21,SDM
419,Fridericiasp1,1,Trees,NA,NA,NA,NA,NA,Excluded
420,Fridericiatrailii,10,Trees,1 +/- 0.05,0.9 +/- 0.09,100 +/- 0,93.93 +/- 9.24,0.49 +/- 0.25,SDM
421,Fridericiatuberculata,15,Trees,1 +/- 0.03,0.9 +/- 0.06,100 +/- 0,94.06 +/- 5.94,0.3 +/- 0.21,SDM
422,Fusaealongifolia,60,Trees,0.9 +/- 0.03,0.8 +/- 0.07,85.9 +/- 7.44,94.89 +/- 6.46,0.21 +/- 0.14,SDM
423,Galbulacyanicollis,44,Birds,0.9 +/- 0.03,0.8 +/- 0.07,88.46 +/- 9.68,90.14 +/- 8.98,0.19 +/- 0.12,SDM
424,Galbuladea,36,Birds,0.9 +/- 0.05,0.9 +/- 0.07,88.85 +/- 8.15,97.32 +/- 4.09,0.28 +/- 0.18,SDM
425,Galipeacongestiflora,13,Trees,0.9 +/- 0.04,0.9 +/- 0.09,100 +/- 0,86.51 +/- 9.1,0.25 +/- 0.2,SDM
426,Garciniamacrophylla,5,Trees,1 +/- 0.03,1 +/- 0.05,100 +/- 0,97.37 +/- 5.18,0.32 +/- 0.08,UPFls_10
427,Garciniamadruno,5,Trees,1 +/- 0.04,1 +/- 0.07,100 +/- 0,96.22 +/- 7.16,0.31 +/- 0.07,UPFls_10
428,Geissospermumsericeum,38,Trees,1 +/- 0.04,0.9 +/- 0.08,93.09 +/- 8.57,94.76 +/- 5.63,0.15 +/- 0.08,SDM
429,Geissospermumvellosii,22,Trees,0.9 +/- 0.04,0.9 +/- 0.09,96.79 +/- 8.47,88.45 +/- 16.26,0.2 +/- 0.12,SDM
430,Geonomamaxima,2,Trees,NA,NA,NA,NA,NA,UPFls_10
431,Geonomasp,1,Trees,NA,NA,NA,NA,NA,Excluded
432,Geotrygonmontana,25,Birds,0.9 +/- 0.03,0.8 +/- 0.07,96.15 +/- 8.04,88.08 +/- 7.32,0.17 +/- 0.05,SDM
433,Glaucidiumhardyi,23,Birds,1 +/- 0.05,0.9 +/- 0.09,95.64 +/- 8.34,95.11 +/- 6.39,0.22 +/- 0.14,SDM
434,Glaucishirsutus,45,Birds,0.9 +/- 0.04,0.7 +/- 0.08,87.46 +/- 8.48,80.14 +/- 10.48,0.12 +/- 0.05,SDM
435,Glycydendronamazonicum,20,Trees,0.9 +/- 0.04,0.9 +/- 0.1,95.97 +/- 9.35,90.4 +/- 9.15,0.21 +/- 0.2,SDM
436,Glyphorynchusspirurus,141,Birds,0.9 +/- 0.02,0.7 +/- 0.05,85.36 +/- 7.5,88.32 +/- 7.19,0.12 +/- 0.06,SDM
437,Gnetumschwackeanum,5,Trees,1 +/- 0.02,1 +/- 0.05,100 +/- 0,98.12 +/- 4.91,0.4 +/- 0.15,UPFls_10
438,Goupiaglabra,54,Trees,0.9 +/- 0.04,0.6 +/- 0.07,85.8 +/- 15.13,74.09 +/- 15.63,0.08 +/- 0.11,Excluded
439,Grallariavaria,7,Birds,1 +/- 0.01,1 +/- 0.03,100 +/- 0,98.93 +/- 2.57,0.36 +/- 0.12,UPFls_10
440,Granatelluspelzelni,32,Birds,1 +/- 0.03,0.8 +/- 0.05,92.75 +/- 8.45,90.43 +/- 7.84,0.16 +/- 0.11,SDM
441,Guapiravenosa,49,Trees,0.9 +/- 0.02,0.8 +/- 0.05,89.17 +/- 6.54,90.34 +/- 8.26,0.15 +/- 0.1,SDM
442,Guareacarinata,54,Trees,0.9 +/- 0.07,0.8 +/- 0.1,83.68 +/- 12.72,92.62 +/- 6.89,0.15 +/- 0.1,SDM
443,Guareagrandifolia,4,Trees,NA,NA,NA,NA,NA,UPFls_10
444,Guareaguidonia,13,Trees,1 +/- 0.04,0.9 +/- 0.09,100 +/- 0,92 +/- 9.37,0.37 +/- 0.29,SDM
445,Guareakunthiana,28,Trees,1 +/- 0.05,0.9 +/- 0.09,91.2 +/- 8.44,99.4 +/- 1.55,0.4 +/- 0.14,SDM
446,Guareamacrophylla,40,Trees,1 +/- 0.04,0.8 +/- 0.09,92.14 +/- 10.54,92.33 +/- 7.97,0.18 +/- 0.12,SDM
447,Guareaseptentrionalis,2,Trees,NA,NA,NA,NA,NA,UPFls_10
448,Guareasilvatica,23,Trees,0.9 +/- 0.03,0.8 +/- 0.05,90 +/- 10.26,87.83 +/- 10.75,0.17 +/- 0.15,SDM
449,Guareasp,1,Trees,NA,NA,NA,NA,NA,Excluded
450,Guatteriaboliviana,9,Trees,1 +/- 0.04,0.9 +/- 0.08,100 +/- 0,93.61 +/- 7.61,0.25 +/- 0.14,SDM
451,Guatteriacryandra,2,Trees,NA,NA,NA,NA,NA,UPFls_10
452,Guatteriaguianensis,5,Trees,1 +/- 0.05,1 +/- 0.07,100 +/- 0,96 +/- 7.1,0.28 +/- 0.11,UPFls_10
453,Guatteriaolivacea,3,Trees,NA,NA,NA,NA,NA,UPFls_10
454,Guatteriapoeppigiana,157,Trees,0.9 +/- 0.02,0.7 +/- 0.06,83.98 +/- 6.53,87.77 +/- 5.4,0.11 +/- 0.05,SDM
455,GuatteriaPoeppigiana,1,Trees,NA,NA,NA,NA,NA,UPFls_10
456,Guatteriaschomburgkiana,106,Trees,0.9 +/- 0.03,0.7 +/- 0.05,91.7 +/- 7.27,73.53 +/- 8.37,0.07 +/- 0.04,SDM
457,Guatteriavillosissima,4,Trees,NA,NA,NA,NA,NA,UPFls_10
458,Gustaviaaugusta,14,Trees,0.9 +/- 0.05,0.8 +/- 0.09,100 +/- 0,83.93 +/- 8.93,0.18 +/- 0.12,SDM
459,Gustaviahexapetala,30,Trees,1 +/- 0.03,0.9 +/- 0.07,97.4 +/- 6.15,94.6 +/- 3.23,0.22 +/- 0.1,SDM
460,Gustavialongepetiolata,1,Trees,NA,NA,NA,NA,NA,UPFls_10
461,Gustaviapoeppigiana,12,Trees,1 +/- 0.03,0.9 +/- 0.05,100 +/- 0,92.44 +/- 4.92,0.29 +/- 0.12,SDM
462,Habiarubica,4,Birds,NA,NA,NA,NA,NA,UPFls_10
463,Haematoderusmilitaris,1,Birds,NA,NA,NA,NA,NA,UPFls_10
464,Handroanthusobscurus,8,Trees,0.9 +/- 0.05,0.9 +/- 0.09,100 +/- 0,90.85 +/- 8.74,0.19 +/- 0.08,SDM
465,Handroanthusserratifolius,38,Trees,0.9 +/- 0.04,0.7 +/- 0.08,88.64 +/- 11.51,82.67 +/- 9.53,0.14 +/- 0.12,SDM
466,Heisteriaacuminata,25,Trees,0.9 +/- 0.03,0.8 +/- 0.06,95.65 +/- 8.43,86.78 +/- 8.75,0.15 +/- 0.09,SDM
467,Heisteriabarbata,17,Trees,1 +/- 0.04,0.9 +/- 0.09,100 +/- 0,90.62 +/- 8.76,0.27 +/- 0.22,SDM
468,Helicostylispedunculata,21,Trees,0.9 +/- 0.05,0.8 +/- 0.1,87.07 +/- 12.71,93.98 +/- 7.47,0.28 +/- 0.16,SDM
469,Helicostylisscabra,4,Trees,NA,NA,NA,NA,NA,UPFls_10
470,Helicostylissp,1,Trees,NA,NA,NA,NA,NA,Excluded
471,Helicostylistomentosa,55,Trees,0.9 +/- 0.03,0.8 +/- 0.07,90.5 +/- 9.5,85.21 +/- 20.17,0.14 +/- 0.16,SDM
472,Hemithraupisguira,32,Birds,0.9 +/- 0.04,0.8 +/- 0.09,93.33 +/- 8.33,90.85 +/- 8.65,0.2 +/- 0.16,SDM
473,Hemitriccusminimus,11,Birds,1 +/- 0.04,0.9 +/- 0.08,100 +/- 0,92.7 +/- 7.88,0.21 +/- 0.11,SDM
474,Herpetotherescachinnans,18,Birds,NA,NA,NA,NA,NA,UPFls_10
475,Herpsilochmusrufimarginatus,72,Birds,0.9 +/- 0.04,0.8 +/- 0.07,85.71 +/- 9,93.94 +/- 8.97,0.21 +/- 0.13,SDM
476,Heteropteryssp,1,Trees,NA,NA,NA,NA,NA,Excluded
477,Heveabrasiliensis,4,Trees,NA,NA,NA,NA,NA,UPFls_10
478,Heveaguianensis,24,Trees,0.9 +/- 0.04,0.8 +/- 0.09,88.64 +/- 10.02,94.97 +/- 7.15,0.24 +/- 0.14,SDM
479,Himatanthussucuuba,38,Trees,0.9 +/- 0.03,0.7 +/- 0.04,95.54 +/- 7.92,72 +/- 9.63,0.06 +/- 0.02,SDM
480,Hippocrateavolubilis,36,Trees,0.9 +/- 0.03,0.8 +/- 0.05,92.48 +/- 7.33,84.95 +/- 8.46,0.13 +/- 0.08,SDM
481,Hiraeafagifolia,4,Trees,NA,NA,NA,NA,NA,UPFls_10
482,Hirtellabicornis,12,Trees,1 +/- 0.06,0.9 +/- 0.08,100 +/- 0,93.63 +/- 8.05,0.31 +/- 0.2,SDM
483,Hirtelladuckei,1,Trees,NA,NA,NA,NA,NA,UPFls_10
484,Hirtellaeriandra,14,Trees,1 +/- 0.02,1 +/- 0.05,100 +/- 0,96.68 +/- 5.04,0.4 +/- 0.21,SDM
485,Hirtellaglandulosa,11,Trees,0.9 +/- 0.05,0.9 +/- 0.09,100 +/- 0,90.3 +/- 8.75,0.36 +/- 0.3,SDM
486,Hirtellaobidensis,4,Trees,NA,NA,NA,NA,NA,UPFls_10
487,Hirtellaphysophora,3,Trees,NA,NA,NA,NA,NA,UPFls_10
488,Hirtellapiresii,8,Trees,1 +/- 0.03,1 +/- 0.07,100 +/- 0,95.7 +/- 6.96,0.27 +/- 0.15,UPFls_10
489,Hirtellaracemosa,36,Trees,0.9 +/- 0.05,0.9 +/- 0.09,92.86 +/- 8.11,94.54 +/- 6.24,0.18 +/- 0.15,SDM
490,Hirtellasp,1,Trees,NA,NA,NA,NA,NA,Excluded
491,Hydropsalisnigrescens,11,Birds,0.9 +/- 0.06,0.9 +/- 0.09,100 +/- 0,89.97 +/- 9.14,0.36 +/- 0.19,SDM
492,Hylexetastesuniformis,32,Birds,1 +/- 0.03,0.9 +/- 0.07,96.47 +/- 6.87,97.99 +/- 2.72,0.28 +/- 0.2,SDM
493,Hylopezusberlepschi,7,Birds,0.9 +/- 0.08,0.9 +/- 0.09,100 +/- 0,89.47 +/- 8.59,0.23 +/- 0.14,SDM
494,Hylopezusmacularius,10,Birds,1 +/- 0.03,1 +/- 0.07,100 +/- 0,96.43 +/- 7.03,0.34 +/- 0.12,SDM
495,Hylophilushypoxanthus,45,Birds,1 +/- 0.03,0.9 +/- 0.06,94.78 +/- 6.84,96.22 +/- 4.98,0.27 +/- 0.21,SDM
496,Hylophilusochraceiceps,10,Birds,1 +/- 0.03,1 +/- 0.08,100 +/- 0,95.26 +/- 8.96,0.31 +/- 0.15,SDM
497,Hylophilussemicinereus,60,Birds,0.8 +/- 0.05,0.6 +/- 0.08,81.48 +/- 11.63,78.29 +/- 9.35,0.12 +/- 0.06,Excluded
498,Hylophylaxnaevius,11,Birds,1 +/- 0.03,1 +/- 0.06,100 +/- 0,97.32 +/- 6.05,0.31 +/- 0.12,SDM
499,Hylophylaxpunctulatus,2,Birds,NA,NA,NA,NA,NA,UPFls_10
500,Hymenaeacourbaril,27,Trees,0.9 +/- 0.05,0.8 +/- 0.07,97.58 +/- 6.63,82.45 +/- 8.11,0.11 +/- 0.12,SDM
501,Hymenaeaparvifolia,49,Trees,0.9 +/- 0.02,0.8 +/- 0.03,91.82 +/- 7.51,84.56 +/- 9.11,0.14 +/- 0.08,SDM
502,Hymenolobiumexcelsum,9,Trees,1 +/- 0.04,0.9 +/- 0.08,100 +/- 0,92.94 +/- 7.6,0.29 +/- 0.2,SDM
503,Hymenolobiumflavum,2,Trees,NA,NA,NA,NA,NA,UPFls_10
504,Hymenolobiumpetraeum,2,Trees,NA,NA,NA,NA,NA,UPFls_10
505,Hypocnemishypoxantha,11,Birds,1 +/- 0.03,1 +/- 0.06,100 +/- 0,97.15 +/- 5.53,0.34 +/- 0.11,SDM
506,Hypocnemisstriata,43,Birds,1 +/- 0.03,0.9 +/- 0.07,96.21 +/- 7.29,93.74 +/- 4.71,0.18 +/- 0.15,SDM
507,Ibycteramericanus,36,Birds,1 +/- 0.03,0.8 +/- 0.08,90.48 +/- 10.16,91.1 +/- 8.74,0.22 +/- 0.22,SDM
508,Ilexminutiflora,1,Trees,NA,NA,NA,NA,NA,UPFls_10
509,Ilexpetiolaris,3,Trees,NA,NA,NA,NA,NA,UPFls_10
510,Ingaalba,159,Trees,0.9 +/- 0.03,0.7 +/- 0.06,85.94 +/- 7.77,82.76 +/- 6.69,0.11 +/- 0.06,SDM
511,Ingaauristellae,53,Trees,0.9 +/- 0.04,0.8 +/- 0.07,90.34 +/- 7.02,92.1 +/- 4.83,0.2 +/- 0.08,SDM
512,Ingabrachystachys,42,Trees,0.9 +/- 0.05,0.8 +/- 0.11,89.11 +/- 10.07,94.21 +/- 8.34,0.3 +/- 0.2,SDM
513,Ingacapitata,131,Trees,0.9 +/- 0.02,0.8 +/- 0.04,85.85 +/- 6.54,91.01 +/- 6.67,0.14 +/- 0.08,SDM
514,Ingacayennensis,9,Trees,0.9 +/- 0.08,0.8 +/- 0.1,100 +/- 0,83.93 +/- 10.07,0.32 +/- 0.22,SDM
515,Ingachartacea,7,Trees,1 +/- 0.05,1 +/- 0.06,100 +/- 0,97.09 +/- 5.81,0.32 +/- 0.14,UPFls_10
516,Ingacylindrica,5,Trees,1 +/- 0.02,1 +/- 0.03,100 +/- 0,98.62 +/- 3.48,0.32 +/- 0.08,UPFls_10
517,Ingadisticha,1,Trees,NA,NA,NA,NA,NA,UPFls_10
518,Ingaedulis,48,Trees,0.9 +/- 0.02,0.8 +/- 0.04,91.58 +/- 6.88,85.04 +/- 8.24,0.17 +/- 0.09,SDM
519,Ingagraciliflora,1,Trees,NA,NA,NA,NA,NA,UPFls_10
520,Ingagracilifolia,59,Trees,0.9 +/- 0.03,0.8 +/- 0.05,90.22 +/- 8.2,88.18 +/- 7.52,0.12 +/- 0.08,SDM
521,Ingagrandiflora,1,Trees,NA,NA,NA,NA,NA,UPFls_10
522,Ingaheterophylla,42,Trees,0.9 +/- 0.03,0.8 +/- 0.07,96 +/- 6.96,87.09 +/- 5.07,0.12 +/- 0.06,SDM
523,Ingaingoides,12,Trees,0.9 +/- 0.06,0.9 +/- 0.09,100 +/- 0,86.41 +/- 9.68,0.24 +/- 0.15,SDM
524,Ingalateriflora,1,Trees,NA,NA,NA,NA,NA,UPFls_10
525,Ingalaxiflora,1,Trees,NA,NA,NA,NA,NA,UPFls_10
526,Ingamacrophylla,26,Trees,0.9 +/- 0.04,0.8 +/- 0.08,91.28 +/- 10.05,91.52 +/- 9.15,0.21 +/- 0.18,SDM
527,Ingamarginata,57,Trees,0.9 +/- 0.04,0.8 +/- 0.07,89.33 +/- 8.95,90.94 +/- 5.32,0.17 +/- 0.13,SDM
528,Ingamicrocalyx,44,Trees,0.9 +/- 0.04,0.8 +/- 0.08,89.86 +/- 9.42,93.03 +/- 5.23,0.19 +/- 0.18,SDM
529,Ingamorta,12,Trees,0.9 +/- 0.05,0.9 +/- 0.09,100 +/- 0,88.46 +/- 9.41,0.3 +/- 0.19,SDM
530,Ingaparaensis,35,Trees,0.9 +/- 0.03,0.8 +/- 0.06,91.6 +/- 7.96,91.43 +/- 8.74,0.23 +/- 0.17,SDM
531,Ingapeduncularis,1,Trees,NA,NA,NA,NA,NA,UPFls_10
532,Ingapilosula,24,Trees,1 +/- 0.04,0.9 +/- 0.09,95.86 +/- 8.25,90.81 +/- 7.72,0.17 +/- 0.1,SDM
533,Ingapunctata,10,Trees,1 +/- 0.03,1 +/- 0.06,100 +/- 0,95.5 +/- 6.18,0.31 +/- 0.13,SDM
534,Ingarubiginosa,141,Trees,0.9 +/- 0.03,0.7 +/- 0.06,86.22 +/- 7.94,82.11 +/- 9.31,0.1 +/- 0.08,SDM
535,Ingasp,8,Trees,0.9 +/- 0.14,0.9 +/- 0.16,100 +/- 0,87.5 +/- 17.31,0.25 +/- 0.11,Excluded
536,Ingastipularis,59,Trees,0.9 +/- 0.03,0.8 +/- 0.06,90 +/- 6.71,89.57 +/- 7.3,0.17 +/- 0.12,SDM
537,Ingathibaudiana,144,Trees,0.9 +/- 0.02,0.7 +/- 0.05,85.34 +/- 6.69,83.63 +/- 5.32,0.09 +/- 0.03,SDM
538,Ingaulei,10,Trees,1 +/- 0.04,0.9 +/- 0.08,100 +/- 0,93.93 +/- 8.09,0.24 +/- 0.14,SDM
539,Ingaumbellifera,15,Trees,1 +/- 0.04,0.9 +/- 0.08,100 +/- 0,89.79 +/- 8.38,0.31 +/- 0.21,SDM
540,Iodopleuraisabellae,3,Birds,NA,NA,NA,NA,NA,UPFls_10
541,Iryantherajuruensis,23,Trees,1 +/- 0.05,0.9 +/- 0.09,93.68 +/- 9.42,94.95 +/- 7.41,0.3 +/- 0.22,SDM
542,Iryantheralancifolia,4,Trees,NA,NA,NA,NA,NA,UPFls_10
543,Iryantherasagotiana,14,Trees,1 +/- 0.05,0.9 +/- 0.09,100 +/- 0,90.06 +/- 9.3,0.2 +/- 0.18,SDM
544,Ixoralongifolia,1,Trees,NA,NA,NA,NA,NA,UPFls_10
545,Jacameropsaureus,24,Birds,0.9 +/- 0.06,0.9 +/- 0.1,91.37 +/- 10,95.67 +/- 4.52,0.22 +/- 0.15,SDM
546,Jacarandacopaia,129,Trees,0.9 +/- 0.02,0.7 +/- 0.06,85.04 +/- 9.5,82.47 +/- 8.62,0.1 +/- 0.06,SDM
547,Jacaratiaspinosa,39,Trees,0.9 +/- 0.05,0.8 +/- 0.1,88.84 +/- 11.95,86.35 +/- 10.4,0.16 +/- 0.11,SDM
548,Joannesiaheveoides,6,Trees,1 +/- 0.06,0.9 +/- 0.09,100 +/- 0,93.83 +/- 8.88,0.22 +/- 0.07,SDM
549,Kutchubaeainsignis,1,Trees,NA,NA,NA,NA,NA,UPFls_10
550,Lacistemaaggregatum,38,Trees,1 +/- 0.03,0.8 +/- 0.07,93.24 +/- 6.97,89.85 +/- 6.16,0.19 +/- 0.13,SDM
551,Lacistemapolystachyum,3,Trees,NA,NA,NA,NA,NA,UPFls_10
552,Lacistemapubescens,12,Trees,0.9 +/- 0.07,0.9 +/- 0.09,100 +/- 0,87.37 +/- 9.19,0.29 +/- 0.2,SDM
553,Lacmelleaaculeata,45,Trees,0.9 +/- 0.04,0.8 +/- 0.09,92.16 +/- 8.57,89.59 +/- 7.34,0.16 +/- 0.07,SDM
554,Lacmelleaarborescens,5,Trees,1 +/- 0.05,1 +/- 0.06,100 +/- 0,96.54 +/- 5.62,0.4 +/- 0.23,UPFls_10
555,Lacunariacrenata,22,Trees,0.9 +/- 0.06,0.9 +/- 0.12,96.43 +/- 9.45,91.23 +/- 9.94,0.29 +/- 0.23,SDM
556,Lacunariajenmanii,45,Trees,0.9 +/- 0.04,0.8 +/- 0.05,87.46 +/- 10.24,91.33 +/- 7.92,0.19 +/- 0.16,SDM
557,Laetiaprocera,69,Trees,0.9 +/- 0.02,0.8 +/- 0.06,85.12 +/- 11.58,91.36 +/- 8.39,0.19 +/- 0.15,SDM
558,Lamprospizamelanoleuca,48,Birds,0.9 +/- 0.03,0.8 +/- 0.07,87.67 +/- 7.74,94.77 +/- 6.35,0.22 +/- 0.17,SDM
559,Laniocerahypopyrra,8,Birds,1 +/- 0.03,0.9 +/- 0.07,100 +/- 0,94.44 +/- 6.61,0.26 +/- 0.16,SDM
560,Laniocristatus,22,Birds,0.9 +/- 0.06,0.8 +/- 0.1,92.59 +/- 11.63,90.77 +/- 9.25,0.21 +/- 0.17,SDM
561,Lanioluctuosus,24,Birds,0.9 +/- 0.04,0.8 +/- 0.07,91.52 +/- 10.04,90.01 +/- 7.72,0.2 +/- 0.11,SDM
562,Laniosurinamus,9,Birds,1 +/- 0.02,1 +/- 0.04,100 +/- 0,97.16 +/- 3.71,0.3 +/- 0.13,UPFls_10
563,Lanioversicolor,5,Birds,1 +/- 0.04,1 +/- 0.05,100 +/- 0,97.59 +/- 5.06,0.27 +/- 0.09,UPFls_10
564,Lecythiscorrugata,8,Trees,1 +/- 0.03,1 +/- 0.06,100 +/- 0,97.11 +/- 5.91,0.32 +/- 0.1,UPFls_10
565,Lecythisholcogyne,22,Trees,0.9 +/- 0.08,0.9 +/- 0.11,90.62 +/- 12.3,94.58 +/- 7.2,0.31 +/- 0.19,SDM
566,Lecythisidatimon,121,Trees,0.9 +/- 0.03,0.8 +/- 0.04,85.16 +/- 6.34,91.63 +/- 5.8,0.15 +/- 0.12,SDM
567,Lecythislurida,99,Trees,0.9 +/- 0.02,0.8 +/- 0.05,88.7 +/- 6.43,90.2 +/- 5.09,0.15 +/- 0.07,SDM
568,Lecythispisonis,37,Trees,1 +/- 0.03,0.9 +/- 0.08,96.57 +/- 6.23,88.69 +/- 7.65,0.17 +/- 0.1,SDM
569,Legatusleucophaius,29,Birds,0.9 +/- 0.04,0.8 +/- 0.04,89.39 +/- 8.41,85.89 +/- 7.19,0.15 +/- 0.13,SDM
570,Leoniacymosa,7,Trees,0.9 +/- 0.09,0.9 +/- 0.09,100 +/- 0,90.69 +/- 9.7,0.29 +/- 0.23,SDM
571,Leoniaglycycarpa,2,Trees,NA,NA,NA,NA,NA,UPFls_10
572,Lepidocolaptesalbolineatus,59,Birds,0.9 +/- 0.04,0.7 +/- 0.08,87.07 +/- 10.35,85.97 +/- 10.75,0.14 +/- 0.08,SDM
573,Lepidothrixiris,31,Birds,1 +/- 0.04,0.9 +/- 0.08,93.81 +/- 8.17,94.85 +/- 6.39,0.18 +/- 0.13,SDM
574,Leptotilarufaxilla,49,Birds,0.8 +/- 0.05,0.6 +/- 0.09,78.75 +/- 11.57,84.56 +/- 11.02,0.2 +/- 0.13,Excluded
575,Leucopterniskuhli,10,Birds,0.9 +/- 0.06,0.9 +/- 0.09,100 +/- 0,90.16 +/- 8.75,0.25 +/- 0.17,SDM
576,Licaniaapetala,9,Trees,1 +/- 0.04,0.9 +/- 0.08,100 +/- 0,93.95 +/- 8.19,0.27 +/- 0.14,SDM
577,Licaniacanescens,67,Trees,0.9 +/- 0.03,0.8 +/- 0.06,83.69 +/- 6.41,95.81 +/- 4.38,0.23 +/- 0.11,SDM
578,Licaniaegleri,13,Trees,1 +/- 0.03,0.9 +/- 0.08,100 +/- 0,94.28 +/- 7.6,0.39 +/- 0.22,SDM
579,Licaniaguianensis,3,Trees,NA,NA,NA,NA,NA,UPFls_10
580,Licaniaheteromorpha,102,Trees,0.9 +/- 0.02,0.8 +/- 0.05,85.45 +/- 6.77,92.98 +/- 6.91,0.21 +/- 0.22,SDM
581,Licaniaheterophylla,4,Trees,NA,NA,NA,NA,NA,UPFls_10
582,Licaniahirsuta,1,Trees,NA,NA,NA,NA,NA,UPFls_10
583,Licaniaimpressa,5,Trees,1 +/- 0.04,1 +/- 0.05,100 +/- 0,97.37 +/- 5.54,0.31 +/- 0.15,UPFls_10
584,Licaniakunthiana,43,Trees,0.9 +/- 0.03,0.8 +/- 0.05,83.87 +/- 6.31,95.45 +/- 5.75,0.25 +/- 0.14,SDM
585,Licanialatifolia,3,Trees,NA,NA,NA,NA,NA,UPFls_10
586,Licanialaxiflora,5,Trees,1 +/- 0.03,1 +/- 0.05,100 +/- 0,97.8 +/- 5.27,0.29 +/- 0.05,UPFls_10
587,Licanialicaniiflora,4,Trees,NA,NA,NA,NA,NA,UPFls_10
588,Licaniamembranacea,17,Trees,1 +/- 0.03,0.9 +/- 0.1,100 +/- 0,93.28 +/- 10.75,0.31 +/- 0.19,SDM
589,Licaniaoblongifolia,4,Trees,NA,NA,NA,NA,NA,UPFls_10
590,Licaniaoctandra,20,Trees,0.9 +/- 0.05,0.9 +/- 0.11,87.5 +/- 12.73,97.68 +/- 4.71,0.36 +/- 0.21,SDM
591,Licaniasp,2,Trees,NA,NA,NA,NA,NA,Excluded
592,Licariabrasiliensis,28,Trees,0.9 +/- 0.04,0.8 +/- 0.08,87.5 +/- 7.35,92.97 +/- 7.17,0.24 +/- 0.18,SDM
593,Licariachrysophylla,3,Trees,NA,NA,NA,NA,NA,UPFls_10
594,Licariacrassifolia,5,Trees,1 +/- 0.05,1 +/- 0.06,100 +/- 0,96.03 +/- 6.47,0.27 +/- 0.08,UPFls_10
595,Licariaguianensis,13,Trees,1 +/- 0.03,0.9 +/- 0.08,100 +/- 0,93.22 +/- 8.02,0.22 +/- 0.14,SDM
596,Lindackerialatifolia,17,Trees,1 +/- 0.03,0.9 +/- 0.07,100 +/- 0,93.54 +/- 6.95,0.25 +/- 0.12,SDM
597,Lindackeriapaludosa,11,Trees,0.9 +/- 0.04,0.9 +/- 0.07,100 +/- 0,90.81 +/- 7.01,0.28 +/- 0.19,SDM
598,Lindackeriaparaensis,37,Trees,0.9 +/- 0.05,0.8 +/- 0.09,96.22 +/- 7.3,88.23 +/- 8.09,0.17 +/- 0.11,SDM
599,Lipaugusvociferans,101,Birds,1 +/- 0.03,0.9 +/- 0.06,90.91 +/- 6.39,92.62 +/- 13.73,0.24 +/- 0.24,SDM
600,Lophostrixcristata,4,Birds,NA,NA,NA,NA,NA,UPFls_10
601,Lophotriccusgaleatus,154,Birds,0.9 +/- 0.01,0.7 +/- 0.04,89.71 +/- 4.52,84.82 +/- 5.24,0.09 +/- 0.03,SDM
602,Lueheagrandiflora,19,Trees,0.9 +/- 0.03,0.9 +/- 0.07,99.19 +/- 4.49,88.15 +/- 6.42,0.17 +/- 0.1,SDM
603,Lueheopsisduckeana,17,Trees,0.9 +/- 0.05,0.9 +/- 0.09,100 +/- 0,88.73 +/- 8.92,0.3 +/- 0.19,SDM
604,Lurocalissemitorquatus,47,Birds,1 +/- 0.04,0.9 +/- 0.08,92.67 +/- 8.28,96.85 +/- 3.3,0.18 +/- 0.11,SDM
605,Mabeaangustifolia,11,Trees,1 +/- 0.07,0.9 +/- 0.12,100 +/- 0,90.56 +/- 11.57,0.33 +/- 0.24,SDM
606,Mabeapiriri,22,Trees,0.9 +/- 0.07,0.8 +/- 0.12,98.33 +/- 6.45,85.45 +/- 12.59,0.27 +/- 0.28,SDM
607,Mabeasp,3,Trees,NA,NA,NA,NA,NA,Excluded
